iter	Passed	Remaining
0	80	40096
1	168	42007
2	266	44140
3	359	44618
4	475	47046
5	577	47542
6	678	47774
7	785	48325
8	893	48771
9	993	48685
10	1076	47854
11	1183	48130
12	1301	48737
13	1394	48393
14	1502	48568
15	1587	48019
16	1668	47417
17	1764	47241
18	1855	46983
19	1947	46740
20	2042	46586
21	2137	46446
22	2233	46314
23	2321	46048
24	2415	45902
25	2501	45606
26	2601	45566
27	2695	45445
28	2772	45034
29	2846	44602
30	2949	44617
31	3050	44611
32	3151	44603
33	3277	44916
34	3371	44790
35	3464	44651
36	3550	44435
37	3648	44356
38	3744	44267
39	3844	44210
40	3948	44204
41	4056	44230
42	4167	44291
43	4273	44292
44	4376	44251
45	4472	44146
46	4562	43972
47	4686	44129
48	4817	44336
49	4916	44246
50	5002	44045
51	5087	43833
52	5175	43649
53	5259	43439
54	5346	43254
55	5430	43056
56	5516	42872
57	5631	42917
58	5719	42751
59	5816	42651
60	5910	42534
61	6004	42418
62	6098	42300
63	6197	42221
64	6287	42078
65	6386	41997
66	6471	41820
67	6554	41641
68	6650	41538
69	6754	41491
70	6859	41446
71	6968	41421
72	7064	41321
73	7176	41311
74	7281	41263
75	7387	41213
76	7485	41120
77	7578	41002
78	7690	40983
79	7802	40965
80	7900	40869
81	7980	40682
82	8058	40486
83	8142	40323
84	8222	40143
85	8300	39955
86	8378	39772
87	8455	39587
88	8537	39425
89	8632	39325
90	8728	39231
91	8825	39137
92	8926	39064
93	9027	38989
94	9105	38818
95	9180	38634
96	9228	38342
97	9274	38042
98	9297	37659
99	9319	37277
100	9341	36905
101	9364	36540
102	9387	36184
103	9411	35834
104	9434	35492
105	9460	35163
106	9497	34881
107	9525	34574
108	9548	34252
109	9572	33937
110	9595	33629
111	9618	33321
112	9640	33015
113	9664	32722
114	9687	32431
115	9710	32146
116	9733	31863
117	9757	31587
118	9780	31313
119	9804	31046
120	9826	30779
121	9849	30515
122	9872	30259
123	9895	30006
124	9918	29755
125	9941	29510
126	9965	29267
127	9987	29025
128	10009	28785
129	10031	28551
130	10058	28332
131	10081	28106
132	10105	27883
133	10128	27664
134	10151	27447
135	10173	27229
136	10195	27015
137	10220	26809
138	10244	26607
139	10268	26404
140	10290	26201
141	10312	25999
142	10336	25804
143	10359	25610
144	10382	25419
145	10404	25228
146	10427	25040
147	10450	24856
148	10475	24677
149	10499	24499
150	10522	24320
151	10545	24143
152	10566	23965
153	10603	23824
154	10629	23659
155	10660	23507
156	10684	23343
157	10708	23178
158	10731	23016
159	10755	22855
160	10778	22695
161	10801	22535
162	10823	22378
163	10846	22222
164	10868	22067
165	10892	21916
166	10914	21764
167	10938	21616
168	10963	21472
169	10990	21333
170	11015	21193
171	11039	21052
172	11066	20918
173	11089	20777
174	11111	20635
175	11133	20496
176	11156	20358
177	11177	20220
178	11200	20084
179	11236	19976
180	11258	19842
181	11280	19709
182	11302	19578
183	11323	19447
184	11345	19318
185	11369	19193
186	11391	19066
187	11419	18951
188	11443	18830
189	11472	18718
190	11498	18602
191	11523	18485
192	11546	18366
193	11568	18246
194	11589	18127
195	11611	18009
196	11634	17894
197	11668	17797
198	11690	17682
199	11711	17567
200	11732	17453
201	11754	17341
202	11776	17229
203	11798	17118
204	11819	17008
205	11841	16900
206	11865	16794
207	11888	16689
208	11909	16582
209	11931	16476
210	11954	16373
211	11977	16271
212	12000	16169
213	12023	16068
214	12047	15969
215	12080	15883
216	12104	15785
217	12126	15686
218	12150	15590
219	12173	15493
220	12196	15397
221	12220	15303
222	12244	15209
223	12267	15115
224	12290	15021
225	12315	14931
226	12339	14840
227	12362	14748
228	12394	14667
229	12419	14579
230	12443	14490
231	12469	14403
232	12492	14315
233	12516	14228
234	12545	14147
235	12577	14070
236	12601	13983
237	12624	13897
238	12647	13811
239	12670	13726
240	12693	13641
241	12716	13556
242	12739	13473
243	12761	13389
244	12787	13309
245	12812	13228
246	12833	13145
247	12858	13065
248	12881	12984
249	12902	12902
250	12924	12821
251	12945	12739
252	12965	12658
253	12987	12578
254	13008	12498
255	13031	12420
256	13058	12346
257	13094	12282
258	13121	12209
259	13144	12133
260	13165	12056
261	13187	11979
262	13209	11903
263	13230	11826
264	13251	11751
265	13271	11675
266	13301	11607
267	13337	11546
268	13361	11474
269	13392	11408
270	13415	11336
271	13438	11264
272	13459	11191
273	13482	11120
274	13507	11051
275	13532	10983
276	13560	10916
277	13586	10849
278	13608	10779
279	13631	10710
280	13653	10641
281	13675	10572
282	13697	10502
283	13718	10433
284	13741	10366
285	13774	10306
286	13830	10264
287	13857	10200
288	13881	10134
289	13903	10068
290	13926	10002
291	13949	9936
292	13971	9870
293	13994	9805
294	14018	9741
295	14041	9677
296	14065	9613
297	14110	9564
298	14136	9503
299	14159	9439
300	14185	9378
301	14210	9316
302	14233	9254
303	14256	9191
304	14280	9130
305	14307	9070
306	14334	9011
307	14360	8951
308	14389	8894
309	14417	8836
310	14443	8777
311	14467	8717
312	14491	8657
313	14515	8598
314	14542	8540
315	14566	8481
316	14589	8422
317	14612	8363
318	14635	8303
319	14660	8246
320	14684	8188
321	14711	8132
322	14734	8074
323	14757	8016
324	14781	7959
325	14803	7901
326	14826	7843
327	14848	7786
328	14869	7728
329	14893	7672
330	14919	7617
331	14942	7561
332	14966	7505
333	14988	7449
334	15033	7404
335	15066	7354
336	15105	7306
337	15129	7251
338	15153	7196
339	15175	7141
340	15202	7088
341	15227	7034
342	15253	6981
343	15281	6929
344	15307	6877
345	15331	6823
346	15355	6770
347	15376	6716
348	15398	6662
349	15422	6609
350	15445	6556
351	15468	6503
352	15491	6451
353	15513	6398
354	15535	6345
355	15563	6295
356	15591	6245
357	15616	6194
358	15640	6142
359	15662	6091
360	15686	6040
361	15709	5988
362	15732	5937
363	15755	5886
364	15782	5837
365	15806	5786
366	15830	5737
367	15856	5687
368	15880	5637
369	15902	5587
370	15924	5536
371	15945	5486
372	15967	5436
373	15989	5386
374	16013	5337
375	16037	5288
376	16064	5241
377	16106	5198
378	16133	5150
379	16158	5102
380	16181	5054
381	16204	5005
382	16248	4963
383	16276	4916
384	16301	4869
385	16329	4822
386	16355	4775
387	16382	4729
388	16406	4681
389	16429	4634
390	16452	4586
391	16475	4539
392	16504	4493
393	16531	4447
394	16557	4401
395	16597	4358
396	16619	4311
397	16641	4264
398	16672	4220
399	16697	4174
400	16720	4128
401	16743	4081
402	16766	4035
403	16791	3990
404	16815	3944
405	16840	3898
406	16865	3853
407	16889	3808
408	16911	3762
409	16933	3717
410	16954	3671
411	16976	3626
412	16998	3580
413	17020	3535
414	17045	3491
415	17069	3446
416	17092	3402
417	17114	3357
418	17190	3323
419	17216	3279
420	17240	3235
421	17264	3191
422	17286	3146
423	17317	3104
424	17359	3063
425	17387	3020
426	17410	2976
427	17433	2932
428	17456	2889
429	17478	2845
430	17502	2802
431	17524	2758
432	17548	2715
433	17572	2672
434	17597	2629
435	17620	2586
436	17645	2543
437	17671	2501
438	17694	2458
439	17719	2416
440	17742	2373
441	17766	2331
442	17788	2288
443	17809	2246
444	17858	2207
445	17883	2165
446	17906	2123
447	17929	2081
448	17952	2039
449	17976	1997
450	18003	1955
451	18029	1914
452	18056	1873
453	18081	1831
454	18105	1790
455	18131	1749
456	18156	1708
457	18200	1669
458	18227	1628
459	18255	1587
460	18284	1546
461	18309	1506
462	18335	1465
463	18357	1424
464	18379	1383
465	18404	1342
466	18431	1302
467	18454	1261
468	18478	1221
469	18502	1181
470	18529	1140
471	18554	1100
472	18579	1060
473	18606	1020
474	18629	980
475	18653	940
476	18679	900
477	18704	860
478	18735	821
479	18763	781
480	18788	742
481	18833	703
482	18866	664
483	18889	624
484	18912	584
485	18935	545
486	18957	506
487	18979	466
488	19002	427
489	19028	388
490	19081	349
491	19109	310
492	19134	271
493	19158	232
494	19182	193
495	19224	155
496	19248	116
497	19273	77
498	19299	38
499	19331	0
